task_id,domain,tier,model,provision,split,n_gold,veto,react,pipeline,mas,acc,visual,direct,rag,react_ver,y_true
bim_t3_010,bim,T3,schependomlaan,door_swing,test,1,1,0,1,1,1,0.0,0,0,0,1
bim_t3_011,bim,T3,buildingsmart_clinic,corridor_width,test,1,1,0,1,1,0,0.0,1,0,0,1
bim_t3_012,bim,T3,buildingsmart_warehouse,stair_riser,test,1,1,0,0,0,1,0.0,0,0,1,1
bim_t3_013,bim,T3,synthetic_schema_edge,ramp_slope,test,1,1,1,0,1,1,0.0,1,0,1,1
bim_t3_014,bim,T3,buildingsmart_duplex,accessible_route,test,1,1,1,0,0,0,0.0,1,0,1,1
bim_t3_015,bim,T3,buildingsmart_office,wc_clearance,test,1,1,0,0,1,1,0.0,1,0,1,1
bim_t3_016,bim,T3,schependomlaan,turning_circle,test,1,0,1,1,1,1,0.0,1,0,1,0
bim_t3_017,bim,T3,buildingsmart_clinic,handrail_height,test,1,1,1,1,1,1,0.0,1,0,1,1
bim_t3_018,bim,T3,buildingsmart_warehouse,landing_depth,test,1,1,1,0,1,1,0.0,1,0,0,1
bim_t3_019,bim,T3,synthetic_schema_edge,headroom,test,1,1,1,1,0,1,0.0,0,1,1,1
bim_t3_020,bim,T3,buildingsmart_duplex,room_area,test,1,1,1,1,0,1,0.0,1,1,1,1
bim_t3_021,bim,T3,buildingsmart_office,ceiling_height,test,1,1,0,0,1,1,0.0,0,1,0,1
bim_t3_022,bim,T3,schependomlaan,window_sill,test,1,1,1,0,1,1,0.0,0,0,1,1
bim_t3_023,bim,T3,buildingsmart_clinic,fire_compartment,test,1,1,1,0,1,1,0.0,1,0,1,1
bim_t3_024,bim,T3,buildingsmart_warehouse,fire_door_rating,test,1,1,0,1,1,1,0.0,0,1,1,1
bim_t3_025,bim,T3,synthetic_schema_edge,exit_signage,test,1,1,0,1,0,1,0.0,0,0,1,1
bim_t3_026,bim,T3,buildingsmart_duplex,dead_end,test,1,1,1,1,0,0,0.0,0,0,1,1
bim_t3_027,bim,T3,buildingsmart_office,occupancy_load,test,1,1,1,0,1,0,0.0,0,0,1,1
bim_t3_028,bim,T3,schependomlaan,opening_lintel,test,1,1,1,1,1,1,0.0,0,0,1,1
bim_t3_029,bim,T3,buildingsmart_clinic,guard_height,test,1,0,1,1,1,0,0.0,0,1,1,0
bim_t4_schependomlaan_clearwidth,bim,T4,schependomlaan,stair_width,test,1,1,0,1,1,1,0.0,1,1,1,1
bim_t4_001,bim,T4,synthetic_schema_edge,refuge_area,test,1,0,0,0,1,0,0.0,1,1,1,0
bim_t4_002,bim,T4,buildingsmart_duplex,egress_clear_width,test,1,1,1,0,1,1,0.0,0,0,1,1
bim_t4_003,bim,T4,buildingsmart_office,egress_travel,test,1,1,1,0,0,0,0.0,0,1,0,1
bim_t4_004,bim,T4,schependomlaan,door_swing,test,1,1,0,0,0,0,0.0,0,0,1,1
bim_t4_005,bim,T4,buildingsmart_clinic,corridor_width,test,1,0,1,1,0,1,0.0,0,1,1,0
bim_t4_006,bim,T4,buildingsmart_warehouse,stair_riser,test,1,1,0,1,0,0,0.0,0,1,1,1
bim_t4_007,bim,T4,synthetic_schema_edge,ramp_slope,test,1,0,0,1,0,1,0.0,0,1,1,0
bim_t4_008,bim,T4,buildingsmart_duplex,accessible_route,test,1,1,1,0,0,1,0.0,1,0,1,1
bim_t4_009,bim,T4,buildingsmart_office,wc_clearance,test,1,1,0,1,0,0,0.0,0,0,1,1
bim_t4_010,bim,T4,schependomlaan,turning_circle,test,1,1,0,0,1,0,0.0,0,1,1,1
bim_t4_011,bim,T4,buildingsmart_clinic,handrail_height,test,1,1,0,0,1,0,0.0,0,1,1,1
bim_t4_012,bim,T4,buildingsmart_warehouse,landing_depth,test,1,1,0,1,0,1,0.0,0,0,1,1
bim_t4_013,bim,T4,synthetic_schema_edge,headroom,test,1,0,0,1,1,0,0.0,0,1,1,0
bim_t4_014,bim,T4,buildingsmart_duplex,room_area,test,1,1,1,0,1,0,0.0,1,0,1,1
bim_t4_015,bim,T4,buildingsmart_office,ceiling_height,test,1,1,1,0,0,1,0.0,1,1,1,1
bim_t4_016,bim,T4,schependomlaan,window_sill,test,1,1,0,0,1,1,0.0,0,0,1,1
bim_t4_017,bim,T4,buildingsmart_clinic,fire_compartment,test,1,1,1,0,1,0,0.0,1,1,1,1
bim_t4_018,bim,T4,buildingsmart_warehouse,fire_door_rating,test,1,1,1,1,1,1,0.0,0,1,1,1
bim_t4_019,bim,T4,synthetic_schema_edge,exit_signage,test,1,1,0,0,0,1,0.0,0,1,1,1
bim_t4_020,bim,T4,buildingsmart_duplex,dead_end,test,1,1,1,0,0,1,0.0,0,1,1,1
bim_t4_021,bim,T4,buildingsmart_office,occupancy_load,test,1,1,0,1,0,1,0.0,0,0,1,1
bim_t4_022,bim,T4,schependomlaan,opening_lintel,test,1,1,0,0,1,1,0.0,1,1,1,1
bim_t4_023,bim,T4,buildingsmart_clinic,guard_height,test,1,0,0,1,1,1,0.0,0,0,0,0
bim_t4_024,bim,T4,buildingsmart_warehouse,stair_width,test,1,0,0,0,1,0,0.0,0,0,0,0
bim_t4_025,bim,T4,synthetic_schema_edge,refuge_area,test,1,1,1,1,1,0,0.0,1,1,0,1
cad_c1_000,cad,C1,fusion360,ops_C1,test,7,1,0,1,1,0,0.0,1,1,0,1
cad_c1_001,cad,C1,deepcad,ops_C1,test,10,1,1,1,1,0,1.0,0,1,1,1
cad_c1_002,cad,C1,fusion360,ops_C1,test,7,1,0,1,1,0,0.0,0,0,0,1
cad_c1_003,cad,C1,deepcad,ops_C1,test,6,0,1,1,1,0,1.0,1,0,1,0
cad_c1_004,cad,C1,fusion360,ops_C1,test,4,1,1,1,0,0,1.0,0,0,0,1
cad_c1_005,cad,C1,deepcad,ops_C1,test,10,1,1,1,1,0,1.0,0,0,1,1
cad_c1_006,cad,C1,fusion360,ops_C1,test,10,1,0,0,1,0,1.0,0,0,1,1
cad_c1_007,cad,C1,deepcad,ops_C1,test,4,1,1,1,1,0,1.0,0,0,1,1
cad_c1_008,cad,C1,fusion360,ops_C1,test,7,1,1,1,1,0,1.0,1,1,1,1
cad_c1_009,cad,C1,deepcad,ops_C1,test,7,1,1,1,1,0,1.0,0,0,1,1
cad_c1_010,cad,C1,fusion360,ops_C1,test,7,1,1,1,1,0,1.0,0,0,1,1
cad_c1_011,cad,C1,deepcad,ops_C1,test,11,1,0,1,1,0,0.0,0,1,1,1
cad_c1_012,cad,C1,fusion360,ops_C1,test,5,1,1,1,1,0,1.0,1,0,1,1
cad_c1_013,cad,C1,deepcad,ops_C1,test,6,1,1,1,0,0,1.0,0,0,1,1
cad_c1_014,cad,C1,fusion360,ops_C1,test,5,1,1,1,1,0,1.0,0,0,1,1
cad_c1_015,cad,C1,deepcad,ops_C1,test,5,1,1,1,1,0,1.0,0,0,1,1
cad_c1_016,cad,C1,fusion360,ops_C1,test,11,1,1,0,1,0,1.0,1,0,0,1
cad_c1_017,cad,C1,deepcad,ops_C1,test,11,1,0,1,1,0,1.0,0,0,1,1
cad_c1_018,cad,C1,fusion360,ops_C1,test,4,1,1,0,1,0,1.0,0,0,0,1
cad_c1_019,cad,C1,deepcad,ops_C1,test,9,1,1,1,0,0,0.0,0,0,1,1
cad_c1_020,cad,C1,fusion360,ops_C1,test,5,1,1,1,0,0,1.0,0,0,1,1
cad_c1_021,cad,C1,deepcad,ops_C1,test,5,0,0,1,0,0,0.0,0,0,1,0
cad_c1_022,cad,C1,fusion360,ops_C1,test,6,1,1,1,1,0,1.0,1,1,1,1
cad_c1_023,cad,C1,deepcad,ops_C1,test,5,1,1,1,1,0,1.0,1,1,1,1
cad_c1_024,cad,C1,fusion360,ops_C1,test,7,1,1,0,1,0,1.0,0,0,0,1
cad_c1_025,cad,C1,deepcad,ops_C1,test,11,1,1,0,0,0,1.0,0,0,1,1
cad_c1_026,cad,C1,fusion360,ops_C1,test,8,1,0,0,1,0,1.0,0,0,0,1
cad_c1_027,cad,C1,deepcad,ops_C1,test,9,1,1,1,1,0,1.0,0,0,1,1
cad_c2_000,cad,C2,fusion360,ops_C2,test,7,1,1,1,1,0,0.0,1,0,1,1
cad_c2_001,cad,C2,deepcad,ops_C2,test,7,1,0,1,1,0,1.0,0,0,1,1
cad_c2_002,cad,C2,fusion360,ops_C2,test,11,1,0,0,0,0,1.0,0,1,1,1
cad_c2_003,cad,C2,deepcad,ops_C2,test,11,0,1,1,1,0,1.0,0,0,1,0
cad_c2_004,cad,C2,fusion360,ops_C2,test,11,0,1,0,1,0,1.0,0,0,1,0
cad_c2_005,cad,C2,deepcad,ops_C2,test,10,0,0,0,0,0,0.0,0,0,1,0
cad_c2_006,cad,C2,fusion360,ops_C2,test,8,1,1,1,1,0,1.0,0,0,1,1
cad_c2_007,cad,C2,deepcad,ops_C2,test,8,1,1,1,1,0,0.0,0,0,0,1
cad_c2_008,cad,C2,fusion360,ops_C2,test,11,1,1,1,0,0,1.0,0,1,0,1
cad_c2_009,cad,C2,deepcad,ops_C2,test,6,1,1,1,1,0,1.0,0,0,1,1
cad_c2_010,cad,C2,fusion360,ops_C2,test,6,1,1,0,1,0,1.0,1,0,1,1
cad_c2_011,cad,C2,deepcad,ops_C2,test,11,1,0,0,1,0,1.0,0,0,1,1
cad_c2_012,cad,C2,fusion360,ops_C2,test,7,1,1,0,1,0,1.0,0,0,1,1
cad_c2_013,cad,C2,deepcad,ops_C2,test,5,1,1,1,1,0,0.0,0,0,0,1
cad_c2_014,cad,C2,fusion360,ops_C2,test,8,1,0,0,1,0,0.0,0,0,1,1
cad_c2_015,cad,C2,deepcad,ops_C2,test,6,1,1,0,1,0,1.0,0,0,0,1
cad_c2_016,cad,C2,fusion360,ops_C2,test,11,1,0,1,1,0,1.0,1,0,0,1
cad_c2_017,cad,C2,deepcad,ops_C2,test,11,1,0,1,1,0,1.0,1,1,0,1
cad_c2_018,cad,C2,fusion360,ops_C2,test,6,1,0,1,1,0,1.0,0,0,1,1
cad_c2_019,cad,C2,deepcad,ops_C2,test,8,1,1,0,1,0,0.0,0,0,0,1
cad_c2_020,cad,C2,fusion360,ops_C2,test,11,1,1,1,1,0,0.0,0,0,1,1
cad_c2_021,cad,C2,deepcad,ops_C2,test,9,0,1,1,1,0,1.0,1,1,1,0
cad_c2_022,cad,C2,fusion360,ops_C2,test,5,0,1,1,0,0,1.0,0,0,0,0
cad_c2_023,cad,C2,deepcad,ops_C2,test,8,1,1,1,1,0,1.0,0,0,1,1
cad_c2_024,cad,C2,fusion360,ops_C2,test,8,1,0,1,0,0,1.0,0,0,1,1
cad_c2_025,cad,C2,deepcad,ops_C2,test,9,1,0,1,1,0,0.0,1,1,1,1
cad_c2_026,cad,C2,fusion360,ops_C2,test,4,1,0,1,1,0,1.0,1,0,0,1
cad_c2_027,cad,C2,deepcad,ops_C2,test,6,1,1,0,1,0,0.0,0,0,0,1
cad_c2_028,cad,C2,fusion360,ops_C2,test,10,1,0,1,1,0,1.0,0,1,1,1
cad_c2_029,cad,C2,deepcad,ops_C2,test,5,1,1,0,0,0,1.0,0,1,1,1
cad_c2_030,cad,C2,fusion360,ops_C2,test,6,1,1,1,1,0,1.0,0,0,0,1
cad_c2_031,cad,C2,deepcad,ops_C2,test,6,1,1,1,0,0,1.0,1,0,1,1
cad_c2_032,cad,C2,fusion360,ops_C2,test,5,1,1,1,0,0,1.0,0,1,1,1
cad_c2_033,cad,C2,deepcad,ops_C2,test,5,1,0,1,0,0,1.0,0,0,0,1
cad_c2_034,cad,C2,fusion360,ops_C2,test,6,1,0,0,1,0,1.0,0,0,1,1
cad_c2_035,cad,C2,deepcad,ops_C2,test,10,1,0,1,1,0,0.0,0,0,0,1
cad_c3_bracket_4bolt,cad,C3,fusion360,ops_C3,test,9,1,1,1,1,0,1.0,0,0,0,1
cad_c3_001,cad,C3,deepcad,ops_C3,test,5,1,0,0,1,0,0.0,1,1,0,1
cad_c3_002,cad,C3,fusion360,ops_C3,test,8,1,1,1,1,0,0.0,0,1,0,1
cad_c3_003,cad,C3,deepcad,ops_C3,test,4,1,0,1,1,0,1.0,1,0,1,1
cad_c3_004,cad,C3,fusion360,ops_C3,test,6,0,0,0,1,0,1.0,0,0,0,0
cad_c3_005,cad,C3,deepcad,ops_C3,test,5,0,0,1,0,0,1.0,0,0,0,0
cad_c3_006,cad,C3,fusion360,ops_C3,test,4,1,0,0,0,0,0.0,1,1,1,1
cad_c3_007,cad,C3,deepcad,ops_C3,test,11,1,1,1,1,0,1.0,0,1,1,1
cad_c3_008,cad,C3,fusion360,ops_C3,test,4,1,1,0,0,0,1.0,1,1,1,1
cad_c3_009,cad,C3,deepcad,ops_C3,test,4,1,0,0,0,0,0.0,0,1,1,1
cad_c3_010,cad,C3,fusion360,ops_C3,test,11,0,0,0,0,0,0.0,0,1,1,0
cad_c3_011,cad,C3,deepcad,ops_C3,test,5,1,1,1,1,0,0.0,0,0,0,1
cad_c3_012,cad,C3,fusion360,ops_C3,test,10,1,0,1,0,0,0.0,1,0,1,1
cad_c3_013,cad,C3,deepcad,ops_C3,test,4,0,1,1,0,0,1.0,1,0,0,0
cad_c3_014,cad,C3,fusion360,ops_C3,test,5,1,0,0,1,0,1.0,0,1,1,1
cad_c3_015,cad,C3,deepcad,ops_C3,test,4,1,1,0,1,0,1.0,0,0,0,1
cad_c3_016,cad,C3,fusion360,ops_C3,test,9,1,0,1,0,0,1.0,0,1,0,1
cad_c3_017,cad,C3,deepcad,ops_C3,test,8,1,0,1,1,0,1.0,0,0,1,1
cad_c3_018,cad,C3,fusion360,ops_C3,test,7,1,0,1,1,0,0.0,1,1,1,1
cad_c3_019,cad,C3,deepcad,ops_C3,test,5,1,1,0,1,0,0.0,0,1,1,1
cad_c3_020,cad,C3,fusion360,ops_C3,test,4,1,0,0,1,0,0.0,1,1,1,1
cad_c3_021,cad,C3,deepcad,ops_C3,test,8,0,1,0,0,0,1.0,0,0,0,0
cad_c4_000,cad,C4,fusion360,ops_C4,test,9,1,0,1,0,0,1.0,0,1,1,1
cad_c4_001,cad,C4,deepcad,ops_C4,test,10,1,0,0,1,0,0.0,0,0,1,1
cad_c4_002,cad,C4,fusion360,ops_C4,test,9,0,1,0,1,0,0.0,0,0,0,0
cad_c4_003,cad,C4,deepcad,ops_C4,test,6,1,0,0,1,0,0.0,0,0,1,1
cad_c4_004,cad,C4,fusion360,ops_C4,test,9,1,0,1,0,0,1.0,0,1,0,1
cad_c4_005,cad,C4,deepcad,ops_C4,test,10,1,0,0,0,0,1.0,0,0,0,1
cad_c4_006,cad,C4,fusion360,ops_C4,test,6,0,0,0,1,0,0.0,0,1,0,0
cad_c4_007,cad,C4,deepcad,ops_C4,test,4,1,1,0,1,0,0.0,0,0,1,1
cad_c4_008,cad,C4,fusion360,ops_C4,test,11,0,0,0,0,0,1.0,0,0,1,0
cad_c4_009,cad,C4,deepcad,ops_C4,test,5,1,0,1,0,0,0.0,1,0,1,1
cad_c4_010,cad,C4,fusion360,ops_C4,test,8,0,0,1,0,0,0.0,0,0,1,0
cad_c4_011,cad,C4,deepcad,ops_C4,test,5,1,1,0,0,0,1.0,0,1,0,1
cad_c4_012,cad,C4,fusion360,ops_C4,test,5,0,1,0,0,0,0.0,0,0,1,0
cad_c4_013,cad,C4,deepcad,ops_C4,test,10,1,0,1,1,0,0.0,0,1,1,1
